factor,hold_day,mean_ic,std_ic,pos_pct,days,icir
vola_shrink,10,-0.03159247592661331,0.0660829489967475,27.896995708154503,233,-0.47807303406160395
vola_shrink,20,-0.03052016681746255,0.06770501802794507,26.905829596412556,223,-0.45078145913594514
vp_corr_20d,1,-0.03165584424020476,0.07960936908945423,34.29752066115703,242,-0.39763968239258635
vp_corr_20d,3,-0.03713275155648834,0.07229783886271113,30.416666666666664,240,-0.5136080433469251
vp_corr_20d,5,-0.039264450299766725,0.07365191898940207,28.57142857142857,238,-0.5331083132459395
vp_corr_20d,10,-0.03621313219119374,0.06749765694458383,27.038626609442062,233,-0.5365094705572527
vp_corr_20d,20,-0.03484054442410058,0.06320101658401737,29.14798206278027,223,-0.5512655698786854
vp_divergence,1,-0.014414283758868886,0.057058244818552276,40.082644628099175,242,-0.2526240301416025
vp_divergence,3,-0.02194470274289372,0.05564686528747762,32.5,240,-0.3943564948272477
vp_divergence,5,-0.027693536352335728,0.054686517795477466,30.252100840336134,238,-0.506405188494667
vp_divergence,10,-0.02089178092240347,0.049029698945469685,33.90557939914164,233,-0.42610461356573065
vp_divergence,20,-0.016542363935981498,0.048432095136050395,38.11659192825112,223,-0.341557884074856
vp_trend_align,1,-0.01694534051531013,0.09238715033227154,43.80165289256198,242,-0.18341663807538172
vp_trend_align,3,-0.022756531572274266,0.08063159588939553,40.833333333333336,240,-0.28222846542055297
vp_trend_align,5,-0.025709383178411736,0.0790266595257781,37.39495798319328,238,-0.32532544501676
vp_trend_align,10,-0.027040488322685706,0.06949677716209568,33.90557939914164,233,-0.38908981721002583
vp_trend_align,20,-0.02020747860325935,0.07276978966520539,42.152466367713004,223,-0.27769049074112523
